# x_m,y_m,w_tr_right_m,w_tr_left_m
8.4435,-9.4208,2.2472,2.2472
8.4935,-9.3708,2.2611,2.2611
8.5435,-9.3208,2.2638,2.2638
8.5435,-9.2708,2.2411,2.2411
8.5935,-9.2208,2.2500,2.2500
8.6435,-9.1708,2.2611,2.2611
8.6935,-9.1208,2.2727,2.2727
8.7435,-9.0708,2.2804,2.2804
8.7935,-9.0208,2.2902,2.2902
8.8435,-8.9708,2.2984,2.2984
8.8435,-8.9208,2.2727,2.2727
8.8935,-8.8708,2.2804,2.2804
8.9435,-8.8208,2.2902,2.2902
8.9935,-8.7708,2.3022,2.3022
8.9935,-8.7208,2.2727,2.2727
9.0435,-8.6708,2.2804,2.2804
9.0935,-8.6208,2.2902,2.2902
9.1435,-8.5708,2.3022,2.3022
9.1435,-8.5208,2.2743,2.2743
9.1935,-8.4708,2.2897,2.2897
9.2435,-8.4208,2.3071,2.3071
9.2435,-8.3708,2.2825,2.2825
9.2435,-8.3208,2.2589,2.2589
9.2935,-8.2708,2.2743,2.2743
9.2935,-8.2208,2.2472,2.2472
9.2935,-8.1708,2.2209,2.2209
9.3435,-8.1208,2.2389,2.2389
9.3435,-8.0708,2.2147,2.2147
9.3435,-8.0208,2.1915,2.1915
9.3935,-7.9708,2.2142,2.2142
9.3935,-7.9208,2.1932,2.1932
9.4435,-7.8708,2.2192,2.2192
9.4435,-7.8208,2.2006,2.2006
9.4435,-7.7708,2.1829,2.1829
9.4935,-7.7208,2.2136,2.2136
9.4935,-7.6708,2.1983,2.1983
9.4935,-7.6208,2.1829,2.1829
9.5435,-7.5708,2.2136,2.2136
9.5435,-7.5208,2.1983,2.1983
9.5435,-7.4708,2.1829,2.1829
9.5935,-7.4208,2.2136,2.2136
9.5935,-7.3708,2.1983,2.1983
9.5935,-7.3208,2.1840,2.1840
9.6435,-7.2708,2.2192,2.2192
9.6435,-7.2208,2.2074,2.2074
9.6435,-7.1708,2.1966,2.1966
9.6435,-7.1208,2.1869,2.1869
9.6435,-7.0708,2.1783,2.1783
9.5935,-7.0208,2.1213,2.1213
9.5935,-6.9708,2.1148,2.1148
9.5935,-6.9208,2.1095,2.1095
9.5935,-6.8708,2.1054,2.1054
9.5935,-6.8208,2.1024,2.1024
9.5435,-6.7708,2.0506,2.0506
9.5435,-6.7208,2.0500,2.0500
9.5435,-6.6708,2.0500,2.0500
9.5435,-6.6208,2.0500,2.0500
9.5435,-6.5708,2.0500,2.0500
9.4935,-6.5208,2.0000,2.0000
9.4935,-6.4708,2.0000,2.0000
9.4935,-6.4208,2.0000,2.0000
9.4935,-6.3708,2.0000,2.0000
9.4935,-6.3208,2.0000,2.0000
9.4435,-6.2708,1.9500,1.9500
9.4435,-6.2208,1.9500,1.9500
9.4435,-6.1708,1.9500,1.9500
9.4435,-6.1208,1.9506,1.9506
9.3935,-6.0708,1.9026,1.9026
9.3935,-6.0208,1.9059,1.9059
9.3935,-5.9708,1.9105,1.9105
9.3935,-5.9208,1.9164,1.9164
9.3935,-5.8708,1.9235,1.9235
9.3435,-5.8208,1.8828,1.8828
9.3435,-5.7708,1.8927,1.8927
9.3435,-5.7208,1.9039,1.9039
9.3435,-5.6708,1.9164,1.9164
9.2935,-5.6208,1.8822,1.8822
9.2935,-5.5708,1.8974,1.8974
9.2935,-5.5208,1.9138,1.9138
9.2935,-5.4708,1.9300,1.9300
9.2435,-5.4208,1.8974,1.8974
9.2435,-5.3708,1.9138,1.9138
